
1,METRO11500M11500,Anniston-Oxford-Jacksonville_ AL MSA,466,506,672,873,979,AL,118572
1,METRO12220M12220,Auburn-Opelika_ AL MSA,585,646,859,1157,1402,AL,140247
1,METRO13820M13820,Birmingham-Hoover_ AL HUD Metro FMR Area,719,812,937,1258,1405,AL,1017381
1,METRO13820N01021,Chilton County_ AL HUD Metro FMR Area,513,570,658,958,1159,AL,43643
1,METRO13820N01127,Walker County_ AL HUD Metro FMR Area,537,557,689,911,1052,AL,67023
1,METRO17980M17980,Columbus_ GA-AL MSA,655,702,841,1171,1482,AL,52947
1,METRO19300M19300,Daphne-Fairhope-Foley_ AL MSA,865,908,1047,1524,1751,AL,182265
1,METRO19460M19460,Decatur_ AL MSA,452,545,678,903,947,AL,153829
1,METRO20020M20020,Dothan_ AL HUD Metro FMR Area,550,553,710,955,1128,AL,128337
1,METRO20020N01067,Henry County_ AL HUD Metro FMR Area,513,538,621,784,1094,AL,17302
1,METRO22520M22520,Florence-Muscle Shoals_ AL MSA,560,564,713,950,1156,AL,147137
1,METRO23460M23460,Gadsden_ AL MSA,573,592,778,973,1117,AL,104430
1,METRO26620M26620,Huntsville_ AL MSA,580,665,800,1088,1410,AL,417593
1,METRO33660M33660,Mobile_ AL MSA,778,783,954,1244,1440,AL,412992
1,METRO33860M33860,Montgomery_ AL MSA,633,735,886,1136,1536,AL,374536
1,METRO46220M46220,Tuscaloosa_ AL HUD Metro FMR Area,602,684,831,1067,1145,AL,210416
1,METRO46220N01107,Pickens County_ AL HUD Metro FMR Area,450,467,621,853,856,AL,19746
1,NCNTY01005N01005,Barbour County_ AL,540,543,722,903,1031,AL,27457
1,NCNTY01011N01011,Bullock County_ AL,525,528,664,912,915,AL,10914
1,NCNTY01013N01013,Butler County_ AL,489,492,654,894,1152,AL,20947
1,NCNTY01017N01017,Chambers County_ AL,506,638,797,997,1099,AL,34215
1,NCNTY01019N01019,Cherokee County_ AL,515,518,689,981,984,AL,25989
1,NCNTY01023N01023,Choctaw County_ AL,542,545,725,907,1036,AL,13859
1,NCNTY01025N01025,Clarke County_ AL,513,538,621,896,1003,AL,25833
